theta(deg),power_1,power_2
0,0.05,0.34
10,0.07,0.34
20,0.07,0.34
30,0.13,0.35
40,0.29,0.31
50,0.4,0.32
60,0.46,0.35
70,0.47,0.37
80,0.49,0.32
90,0.48,0.33
100,0.48,0.35
110,0.48,0.34
120,0.46,0.32
130,0.45,0.33
140,0.38,0.33
150,0.36,0.34
160,0.3,0.33
170,0.25,0.35
180,0.12,0.37
190,0.06,0.32
200,0.05,0.33
210,0.07,0.35
220,0.07,0.34
230,0.13,0.32
240,0.29,0.33
250,0.4,0.34
260,0.46,0.34
270,0.47,0.35
280,0.49,0.31
290,0.48,0.32
300,0.48,0.35
310,0.48,0.33
320,0.46,0.34
330,0.45,0.33
340,0.38,0.35
350,0.36,0.37
360,0.3,0.32
